ID;Name
1;Cold-winter deserts
2;Evergreen Sclerophyllous forests
3;Lake systems
4;Mixed island systems
5;Mixed mountain systems
6;Sub-tropical / Temperate rain forests / Woodlands
7;Temperate broad-leaf forests
8;Temperate grasslands
9;Temperate needle-leaf forests / Woodlands
10;Tropical dry forests / Woodlands
11;Tropical grasslands / Savannas
12;Tropical humid forests
13;Tundra communities
14;Warm deserts / semi-deserts
